platnost ve dni;zapnout;vypnout;zapnout;vypnout;zapnout;vypnout
pondělí;0:00;5:00;18:00;20:00;23:00;23:59
úterý;0:00;5:00;18:00;20:00;23:00;23:59
středa;0:00;5:00;18:00;20:00;23:00;23:59
čtvrtek;0:00;5:00;18:00;20:00;23:00;23:59
pátek;0:00;5:00;18:00;20:00;23:00;23:59
sobota;0:00;5:00;18:00;20:00;23:00;23:59
neděle;0:00;5:00;18:00;20:00;23:00;23:59
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
T1;39,0724
T2;12,7465
baterie;26,8097
bat%;0,9;;;;;;;;;;;;;
priplatek;16,0858
srazka;12,3737
;;;;;;;;;;;;;;
EUR;24,245
;;;;;;;;;;;;;;
plyn;45;;;;;;;;;;;;;
fix;2390;;;;;;;;;;;;;
T1CZK;2444,99;;;;;;;;;;;;;
T2CZK;309,04;;;;;;;;;;;;;
baterie;0;;;;;;;;;;;;;
priplatekCZK;390;;;;;;;;;;;;;
srazkaCZK;000;;;;;;;;;;;;;
